"År-måned","Arbeidssted fylkesnummer","Arbeidssted kommunenummer","Stilling Yrkesbetegnelse kode (6-siffer)","Tilgang stillinger i perioden"
"201512","03","0301","2310.01","1"
"201512","11","1102","5141.02","2"
"201512","05","0520","5223.02","1"
"201512","01","0104","5329.02","2"
"201512","10","1001","8322.03","2"
"201512","10","1018","4321.01","1"
"201512","01","0128","7115.07","2"
"201512","01","0125","2422.05","1"
"201512","12","1201","3256.01","1"
"201512","02","0219","3511.03","1"
"201512","02","0219","2433.03","1"
"201512","02","0219","5141.02","2"
"201512","05","0512","5223.02","3"
"201512","12","1201","5321.02","30"
"201512","01","0125","0000.02","1"
"201512","02","0219","7125.02","1"
"201512","02","0236","9111.01","1"
"201512","03","0301","3321.01","2"
"201512","05","0502","2342.07","2"
"201512","01","0101","2643.03","1"
"201512","08","0817","3112.13","1"
"201512","03","0301","1323.05","1"
"201512","10","1037","0000.02","1"
"201512","05","0517","5311.08","1"
"201512","17","1702","3119.05","1"
"201512","12","1227","2264.01","1"
"201512","15","1563","2221.01","1"
"201512","14","1419","2120.10","1"
"201512","14","1432","3114.02","1"
"201512","06","0605","2164.01","2"
"201512","17","1744","2211.01","1"
"201512","03","0301","7412.07","2"
"201512","02","0236","2261.02","1"
"201512","01","0124","2341.01","1"
"201512","11","1102","8342.01","2"
"201512","02","0214","4321.01","2"
"201512","10","1004","9112.02","3"
"201512","06","0602","2221.10","1"
"201512","05","0540","9412.02","1"
"201512","15","1573","5321.02","2"
"201512","16","1653","2223.02","4"
"201512","09","0929","2342.04","1"
"201512","05","0514","7513.02","1"
"201512","18","1805","5223.02","3"
"201512","03","0301","5222.02","1"
"201512","03","0301","1111.01","1"
"201512","18","1860","2320.02","2"
"201512","15","1502","3257.04","1"
"201512","11","1102","2432.05","1"
"201512","07","0706","4110.19","1"
"201512","11","1124","7233.03","1"
"201512","01","0106","1420.05","1"
"201512","12","1247","2142.19","3"
"201512","05","0542","4110.17","1"
"201512","19","1903","2621.01","1"
"201512","20","2004","4321.27","1"
"201512","11","1103","2634.13","2"
"201512","15","1573","1349.04","1"
"201512","04","0437","2221.15","2"
"201512","11","1103","4322.01","2"
"201512","19","1902","7231.07","1"
"201512","02","0235","2223.02","3"
"201512","12","1253","7114.02","1"
"201512","02","0213","2224.10","1"
"201512","11","1142","5419.06","2"
"201512","01","0106","5151.01","1"
"201512","14","1432","2250.01","1"
"201512","02","0231","2421.05","1"
"201512","15","1547","2342.07","1"
"201512","02","0220","3412.03","7"
"201512","12","1201","8343.02","1"
"201512","12","1201","2653.01","1"
"201512","06","0602","3322.05","41"
"201512","11","1103","1349.04","2"
"201512","12","1201","2422.43","1"
"201512","08","0826","2320.05","1"
"201512","01","0136","3112.01","1"
"201512","11","1102","3322.34","2"
"201512","12","1259","2634.01","1"
"201512","15","1504","3322.19","2"
"201512","11","1103","2211.01","16"
"201512","09","0906","2635.04","3"
"201512","05","0502","7411.11","2"
"201512","18","1824","4110.02","1"
"201512","03","0301","2164.02","2"
"201512","11","1130","0000.02","1"
"201512","17","1711","1342.01","1"
"201512","03","0301","2320.03","2"
"201512","10","1037","3355.04","1"
"201512","15","1505","3211.01","1"
"201512","14","1432","3313.20","1"
"201512","11","1120","2330.03","1"
"201512","05","0501","8322.04","1"
"201512","01","0124","2642.02","1"
"201512","07","0716","4321.01","2"
"201512","18","1868","1349.04","1"
"201512","08","0806","5322.02","1"
"201512","12","1219","7126.02","1"
"201512","07","0714","4110.02","1"
"201512","12","1221","2261.02","2"
"201512","04","0417","2223.02","6"
"201512","03","0301","8322.06","1"
"201512","16","1601","1349.04","3"
"201512","11","1146","7231.03","1"
"201512","01","0136","4311.01","1"
"201512","06","0605","5246.07","1"
"201512","18","1870","1420.06","1"
"201512","15","1571","5321.04","1"
"201512","05","0501","5169.10","4"
"201512","19","1931","1342.01","2"
"201512","02","0229","5311.04","2"
"201512","11","1112","3113.11","1"
"201512","15","1539","2352.02","1"
"201512","01","0137","2223.02","1"
"201512","15","1502","1342.36","1"
"201512","02","0220","2511.03","1"
"201512","20","2019","5151.09","1"
"201512","02","0220","2221.02","2"
"201512","05","0542","4224.02","3"
"201512","07","0706","2422.05","1"
"201512","10","1002","2635.05","1"
"201512","04","0427","7231.03","1"
"201512","01","0105","2634.01","2"
"201512","20","2021","2221.05","1"
"201512","02","0231","1321.25","1"
"201512","15","1504","5329.04","1"
"201512","03","0301","8160.30","1"
"201512","03","0301","2513.03","1"
"201512","20","2025","8332.03","2"
"201512","17","1714","3322.05","1"
"201512","04","0402","3322.02","2"
"201512","11","1146","2223.02","2"
"201512","17","1751","1112.05","1"
"201512","19","1902","3322.34","1"
"201512","05","0522","2211.01","1"
"201512","07","0706","1349.03","2"
"201512","02","0228","4311.01","1"
"201512","10","1032","4110.23","1"
"201512","04","0403","2359.12","10"
"201512","09","0928","8322.03","1"
"201512","16","1640","4110.12","1"
"201512","06","0626","2211.05","2"
"201512","02","0221","2221.10","1"
"201512","05","0529","7222.05","1"
"201512","07","0714","2223.02","2"
"201512","02","0213","3112.13","1"
"201512","14","1432","5223.04","1"
"201512","02","0237","2352.02","2"
"201512","14","1413","3412.02","2"
"201512","16","1601","4224.02","2"
"201512","09","0901","2224.10","2"
"201512","01","0104","1420.02","1"
"201512","06","0605","7231.03","1"
"201512","17","1703","2635.02","1"
"201512","14","1449","1321.02","1"
"201512","07","0702","2342.07","1"
"201512","18","1833","3313.01","1"
"201512","15","1535","5329.04","1"
"201512","12","1264","3322.26","2"
"201512","04","0427","2221.01","1"
"201512","19","1902","5311.06","2"
"201512","14","1428","5311.02","1"
"201512","01","0105","3355.02","8"
"201512","11","1103","2310.10","1"
"201512","03","0301","2529.02","1"
"201512","18","1834","2341.01","1"
"201512","16","1601","5411.04","1"
"201512","10","1037","2224.10","1"
"201512","03","0301","1219.02","1"
"201512","11","1120","5329.02","6"
"201512","18","1871","3123.08","1"
"201512","11","1142","2211.01","1"
"201512","14","1401","4110.12","1"
"201512","17","1744","6130.03","1"
"201601","12","1201","9313.01","2"
"201601","12","1221","5329.02","2"
"201601","14","1422","5141.01","1"
"201601","03","0301","2411.12","1"
"201601","10","1001","0000.01","2"
"201601","UT","Norg","4110.02","2"
"201601","03","0301","8322.03","6"
"201601","03","0301","4311.02","5"
"201601","12","1201","5223.03","6"
"201601","09","0904","5329.02","16"
"201601","09","0906","8332.03","1"
"201601","09","0919","5223.02","1"
"201601","03","0301","4311.01","10"
"201601","12","1246","5311.04","1"
"201601","16","1601","2352.02","1"
"201601","08","0806","5120.03","1"
"201601","07","0716","5312.01","1"
"201601","12","1201","5113.01","26"
"201601","18","1833","4322.08","1"
"201601","07","0706","3119.02","1"
"201601","05","0501","1219.46","1"
"201601","06","0604","2224.02","1"
"201601","14","1401","4322.01","2"
"201601","15","1504","2267.01","1"
"201601","03","0301","2267.07","3"
"201601","05","0544","5321.07","2"
"201601","12","1246","5329.02","1"
"201601","16","1657","2221.01","1"
"201601","14","1432","5321.04","2"
"201601","12","1232","5153.03","2"
"201601","19","1902","2211.01","4"
"201601","08","0822","8212.09","2"
"201601","16","1640","4323.49","1"
"201601","02","0237","1420.02","1"
"201601","15","1525","8342.01","1"
"201601","01","0124","5223.04","1"
"201601","01","0106","2330.03","4"
"201601","02","0237","7231.01","1"
"201601","17","1756","5311.02","1"
"201601","04","0432","5321.02","3"
"201601","01","0106","7411.01","1"
"201601","18","1815","2351.01","1"
"201601","05","0516","5312.01","1"
"201601","14","1401","4313.01","1"
"201601","07","0709","8322.02","1"
"201601","14","1443","2422.05","1"
"201601","15","1547","5311.03","2"
"201601","06","0604","4110.01","1"
"201601","19","1902","1349.04","5"
"201601","05","0502","2422.05","2"
"201601","15","1576","2341.05","1"
"201601","07","0704","2432.01","1"
"201601","02","0236","2342.07","1"
"201601","03","0301","2221.07","8"
"201601","05","0501","3256.03","2"
"201601","18","1804","5243.01","2"
"201601","03","0301","1324.61","1"
"201601","04","0432","2341.01","3"
"201601","12","1228","2422.48","1"
"201601","03","0301","3413.17","1"
"201601","11","1102","4321.03","1"
"201601","03","0301","2422.15","1"
"201601","07","0709","4321.01","20"
"201601","17","1703","3212.01","1"
"201601","14","1443","3212.01","1"
"201601","03","0301","1324.68","3"
"201601","01","0106","3412.01","2"
"201601","01","0106","8142.01","1"
"201601","16","1601","3131.02","1"
"201601","15","1573","1349.78","1"
"201601","16","1624","5311.04","3"
"201601","05","0501","1223.08","1"
"201601","15","1529","3341.02","1"
"201601","12","1201","5321.02","35"
"201601","07","0713","9112.02","3"
"201601","04","0402","8121.40","1"
"201601","14","1416","9312.02","2"
"201601","17","1719","5311.04","3"
"201601","05","0502","7126.03","2"
"201601","17","1714","3511.03","1"
"201601","15","1529","5223.02","2"
"201601","06","0602","2431.04","20"
"201601","04","0430","2636.22","2"
"201601","07","0719","1321.27","1"
"201601","03","0301","1349.02","2"
"201601","06","0605","1324.03","1"
"201601","11","1119","2221.01","1"
"201601","14","1432","5223.04","3"
"201601","04","0426","3412.14","1"
"201601","10","1037","2635.12","1"
"201601","16","1621","2422.05","16"
"201601","02","0213","3123.07","1"
"201601","10","1032","2351.03","1"
"201601","10","1026","1345.06","2"
"201601","04","0403","3254.01","1"
"201601","02","0233","2634.01","3"
"201601","14","1449","9112.02","3"
"201601","03","0301","2164.08","1"
"201601","12","1201","4321.01","2"
"201601","12","1201","2212.02","15"
"201601","10","1001","5223.04","22"
"201601","16","1601","2433.03","1"
"201601","17","1703","2352.02","1"
"201601","02","0220","1349.05","2"
"201601","19","1940","2636.25","1"
"201601","11","1106","3512.04","1"
"201601","11","1103","3333.01","1"
"201601","17","1719","3254.01","1"
"201601","02","0220","3114.07","2"
"201601","10","1001","3211.05","2"
"201601","09","0928","4110.02","1"
"201601","19","1902","2511.01","3"
"201601","16","1601","3321.16","8"
"201601","19","1902","1323.11","5"
"201601","04","0427","3323.01","1"
"201601","20","2003","7115.07","1"
"201601","02","0220","2634.11","2"
"201601","14","1439","8152.02","1"
"201601","10","1032","4222.02","1"
"201601","09","0914","2341.01","1"
"201601","11","1106","3355.02","2"
"201601","02","0219","1114.02","1"
"201601","12","1235","2212.02","1"
"201601","06","0622","1349.04","1"
"201601","12","1246","4321.01","2"
"201601","01","0105","2211.01","1"
"201601","18","1841","3511.05","1"
"201601","14","1428","9112.02","2"
"201601","19","1903","2636.15","1"
"201601","11","1134","2264.01","1"
